"ItemID";"ItemName";"ItemPrice";"ItemDescription";"ItemType";"CreationDate";"DateUpdate"
"63";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"64";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"65";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"66";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"67";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"68";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"69";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"70";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"71";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"72";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"73";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"74";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"75";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"76";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"77";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"78";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"79";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"80";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"81";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"82";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"83";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"84";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"85";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"86";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"87";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"88";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"89";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"90";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"91";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"92";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"93";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"94";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"95";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"96";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"97";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"98";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"99";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"100";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"101";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"102";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"103";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"104";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"105";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"106";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"107";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"108";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"109";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"110";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"111";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"112";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"113";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"114";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"115";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"116";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"117";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"118";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"119";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"120";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"121";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"122";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"123";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"124";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"125";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"126";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"127";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"128";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"129";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"130";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"131";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"132";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"133";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"134";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"135";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"136";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"137";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"138";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"139";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"140";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"141";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"142";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"143";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"144";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"145";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"146";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"147";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"148";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"149";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"150";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"151";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"152";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"153";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"154";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"155";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"156";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"157";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"158";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"159";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"160";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"161";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"162";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"163";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"164";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"165";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"166";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"167";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"168";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"169";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"170";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"171";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"172";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"173";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"174";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"175";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"176";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"177";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"178";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"179";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"180";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"181";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"182";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"183";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"184";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"185";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"186";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"187";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"188";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"189";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"190";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"191";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"192";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"193";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"194";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"195";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"196";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"197";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"198";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"199";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"200";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"201";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"202";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"203";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"204";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"205";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"206";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"207";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"208";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"209";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"210";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"211";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"212";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"213";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"214";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"215";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"216";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"217";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"218";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"219";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"220";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"221";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"222";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"223";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"224";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"225";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"226";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"227";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"228";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"229";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"230";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"231";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"232";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"233";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"234";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"235";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"236";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"237";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"238";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"239";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"240";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"241";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"242";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"243";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"244";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"245";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"246";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"247";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"248";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"249";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"250";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"251";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"252";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"253";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"254";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"364";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"365";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"366";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"367";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"368";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"369";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"370";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"371";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"372";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"373";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"374";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"375";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"379";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"387";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"388";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"390";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"392";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"393";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"395";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"400";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"403";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"410";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"411";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"412";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"415";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"418";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"440";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"446";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"447";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"448";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"449";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"450";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"451";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"452";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"455";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"457";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"459";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"463";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"466";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"467";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"482";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"484";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"487";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"488";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"489";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"490";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"492";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"494";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"495";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"496";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"514";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"515";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"534";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"537";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"546";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"548";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"552";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"554";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"555";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"556";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"557";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"558";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"559";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"560";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"561";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"562";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"563";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"564";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"565";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"566";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"567";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"568";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"569";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"570";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"571";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"572";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"573";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"575";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"576";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"578";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"579";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"580";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"581";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"582";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"583";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
